,Sr.No,PIC,Name of Dam,Operated & Maintained by,Latitude,Longitude,Year of Completion,River Basin,River,Neareast City,Seismic Zone,Dam Type,Height above Lowest Foundation Level,Dam Length,Volume Content of Dam,Gross Storage Capacity,Reservoir Area,Effective Storage Capacity,Purpose,Designed Spillway Capacity
1192,58,JH05HH0058,JHARJHARA,Jharkhand Water Resources Department,"22° 46 ' 8""","85° 34 ' 11""",,Subarnarekha,Brahamni.,Chakardharpur,II,Earthfill_Embankment,66,667,0,22470000,2373000,1980000,I,506
1193,59,JH05HH0059,KANHAR,Jharkhand Water Resources Department,"0° 0 ' 0""","0° 0 ' 0""",,Ganga,Kanhar,Garhwa,II,Earthfill_Embankment,42.98,,0,574000000,,522000000,I,
1194,60,JH05HH0060,KANS,Jharkhand Water Resources Department,"23° 13 ' 43""","84° 50 ' 7""",,Brahmani and Baitarni,Kans,Gumla,II,Earthfill_Embankment,20.73,1798.78,0,26000000,10000,21000000,I,608.82
1195,61,JH05MH0061,KANSJORE,Jharkhand Water Resources Department,"22° 43 ' 51""","84° 26 ' 34""",,Brahmani and Baitarni,Shankha,Simdega,II,Earthfill_Embankment,28,1920,0,23000000,90000,3700000,I,113.3
1196,62,JH05MH0062,KATRI,Jharkhand Water Resources Department,"23° 12 ' 21""","84° 28 ' 57""",,Brahmani and Baitarni,South Koel,Gumla,II,Earthfill_Embankment,23.4,1890,0,0,,,I,722
1197,63,JH05HH0063,NAKTI (Chaibasa),Jharkhand Water Resources Department,"22° 44 ' 2""","85° 30 ' 13""",2010,Subarnarekha,Bijay,Chakardharpur,II,Earthfill_Embankment,37.6,677.53,0,11000000,720600,9204000,I,226.7
1198,64,JH05MH0064,PANCHKHERO,Jharkhand Water Resources Department,"24° 21 ' 8""","85° 51 ' 3""",,Ganga,Panchkhero,Giridih,III,Earthfill_Embankment,19.33,2082,0,8990000,2760000,5990000,I,633
1199,65,JH05MH0065,PUNASI,Jharkhand Water Resources Department,"24° 28 ' 42""","86° 32 ' 8""",,Ganga,Ajay,Deoghar,III,Earthfill_Embankment,21.54,2133.6,0,149800000,24180000,113500000,I,4099.3
1200,66,JH05MH0066,RAMREKHA,Jharkhand Water Resources Department,"22° 43 ' 6""","84° 20 ' 20""",2010,Brahmani and Baitarni,Utail Nala,Simdega,II,Earthfill_Embankment,28.35,518.3,0,16000000,50000,14000000,I,18
1201,67,JH05MH0067,SALAIYA,Jharkhand Water Resources Department,"24° 11 ' 23""","85° 35 ' 17""",,Ganga,Barsoti,Koderma,III,Earthfill_Embankment,18.6,990,0,22820000,,19060000,I,792
1202,68,JH05MH0068,SATPOKA,Jharkhand Water Resources Department,"22° 21 ' 16""","85° 6 ' 39""",,Brahmani and Baitarni,Potka,Chakardharpur,II,Earthfill_Embankment,24.4,1281,0,10600000,50000,9300000,I,398
1203,69,JH05HH0069,SONUA,Jharkhand Water Resources Department,"22° 37 ' 10""","85° 23 ' 15""",2009,Subarnarekha,Sanjay Nala.,Chakardharpur,II,Earthfill_Embankment,36.32,640,0,368800000,3522000,31320000,I,1170
1204,70,JH05MH0070,SUGFATHAN,Jharkhand Water Resources Department,"0° 0 ' 0""","0° 0 ' 0""",,Ganga,Dibri,Godda,III,Earthfill_Embankment,21.12,2040,0,214400000,5140000,18260000,I,708
1205,71,JH05HH0071,SURANGI,Jharkhand Water Resources Department,"22° 57 ' 1""","85° 49 ' 50""",,Subarnarekha,Surangi Nala,Khunti,II,Earthfill_Embankment,32.88,217.5,0,762000000,1020000,5230000,I,381
1206,72,JH05HH0072,SURU,Jharkhand Water Resources Department,"0° 0 ' 0""","0° 0 ' 0""",,Subarnarekha,Suru,Sambalpur,II,Earthfill_Embankment,35.07,166,0,271215000,2463600,24426400,I,987
1207,73,JH05MH0073,TAHLAY,Jharkhand Water Resources Department,"24° 2 ' 37""","83° 57 ' 28""",,Ganga,Tahlay,Daltonganj,II,Earthfill_Embankment,15,,0,190000000,,153700000,I,
1208,74,JH05MH0074,TORAI,Jharkhand Water Resources Department,"24° 39 ' 24""","87° 37 ' 2""",,Ganga,Torai,Pakur,III,Earthfill_Embankment,24.4,647.7,0,248000000,4450000,21100000,I,1022
1209,75,JH05HH0075,UPPER SHANKH,Jharkhand Water Resources Department,"23° 16 ' 5""","84° 13 ' 15""",2008,Brahmani and Baitarni,Shankha,Gumla,II,Earthfill_Embankment,39.69,1067,0,270000000,48000,,I/H,1200
1210,76,JH05LH0076,KESHO,Jharkhand Water Resources Department,"24° 23 ' 10""","85° 44 ' 36""",,Ganga,Kesho,Koderma,III,Earthfill_Embankment,14.57,2052,750000,164600000,5460000,115220000,I,1046
1211,77,JH05LH0077,KRISHNA SAGAR,-,"0° 0 ' 0""","0° 0 ' 0""",,To Be Confirmed,Chano-mano- jore,Sambalpur,II,Earthfill_Embankment,11.05,755,0,0,195000,,I,50
1212,78,JH02MH0078,BATANE,Jharkhand Water Resources Department,"24° 25 ' 39""","84° 15 ' 37""",1990,Ganga,Batare.,Daltonganj,III,Earthfill_Embankment,24.08,2012.2,0,678700000,13360000,59970000,I,2692
1213,79,JH02HH0079,NORTH KOEL,Jharkhand Water Resources Department,"0° 0 ' 0""","0° 0 ' 0""",,Ganga,North Koel,Garhwa,II,Other,67.86,343,,702000000,71200000,541500000,I/H,16000
1214,1,KA06MH0001,Thonnur Tank,Karnataka Water Resources Department,"12° 33 ' 39""","76° 38 ' 26""",1000,Cauvery,Hebballa Valley,Pandava pura,II,Earthfill_Embankment,24.38,118.8,15850000,13660000,4191750,12420000,I,400
1215,2,KA06LH0002,Madaga Tank (old),Karnataka Water Resources Department,"14° 20 ' 51""","75° 24 ' 45""",1908,Krishna,Kumadavati River,Hirekerur,II,Earthfill_Embankment,32.87,950,2146000,17500000,720000,16000000,I,37.37
1216,3,KA06MH0003,Kottur Tank,Karnataka Water Resources Department,"14° 48 ' 50""","76° 13 ' 57""",1888,Krishna,Krishna T.Bhadra,Kudligi,II,Earthfill_Embankment,15,1777,39900000,4912000,2661600,4870000,I,182
1217,4,KA06MH0004,Boranakanive Tank,Karnataka Water Resources Department,"13° 36 ' 5""","76° 38 ' 6""",1892,Krishna,Suvarnamuki SS VI,C.N.Halli,II,Other,24,39.6,2440000,6425000,13466000,6181000,I,941.58
1218,5,KA06LH0005,Maidal Amanikere Tank,Karnataka Water Resources Department,"13° 18 ' 35""","77° 11 ' 16""",1895,Cauvery,Agasarahalli nala,Tumkur,II,Earthfill_Embankment,13.8,810,147650,7400000,2137510,6970000,I,208.8
1219,6,KA06LH0006,Hesaraghatta Reservoir,Karnataka Water Resources Department,"13° 8 ' 32""","77° 29 ' 20""",1896,Cauvery,Arkavathy,Bangalore,II,Earthfill_Embankment,14.78,1560,0,29591000,,114400,S,274.67
1220,7,KA06MH0008,Deepambudikere Tank,Karnataka Water Resources Department,"12° 51 ' 23""","77° 4 ' 8""",1906,Cauvery,Nagini,Kunigal,II,Earthfill_Embankment,15,600,252450,12106000,2070000,9687000,I,37.64
1221,8,KA06LH0010,Kadaba Tank,Karnataka Water Resources Department,"13° 14 ' 32""","76° 52 ' 43""",1906,Cauvery,Shimsha Valley,Gubbi,II,Earthfill_Embankment,10.5,1680,357200,16530000,6790000,15700000,I,146.5
1222,9,KA06LH0011,Kunigal Dodakere Tank,Karnataka Water Resources Department,"13° 1 ' 55""","77° 1 ' 37""",1906,Cauvery,Nagini,Kunigal,II,Earthfill_Embankment,11,2000,5170000,15070000,416000,13700000,I,224.6
1223,10,KA06LH0012,Nidasale Tank,Karnataka Water Resources Department,"12° 46 ' 6""","77° 4 ' 56""",1906,Cauvery,Nagini,Kunigal,II,Earthfill_Embankment,11,870,198570,6632000,1248000,5306000,I,111.68
1224,11,KA06LH0013,Nittur Tank,Karnataka Water Resources Department,"13° 19 ' 55""","76° 52 ' 6""",1906,Cauvery,Shimsha Valley,Gubbi,II,Earthfill_Embankment,10.5,1350,286000,5410000,2520000,5410000,I,65.35
1225,12,KA06LH0014,Ranikere Tank,Karnataka Water Resources Department,"14° 19 ' 26""","76° 43 ' 53""",1907,Krishna,Garnihalla,Challakere,II,Earthfill_Embankment,12.19,960,106000,15260000,5827600,14260000,I,274.6
1226,13,KA06HH0015,Vanivilasa Sagar Dam,Karnataka Water Resources Department,"13° 53 ' 17""","76° 29 ' 18""",1907,Krishna,Vedavathy,Hiriyur,II,Masonry_Gravity,49.37,405.4,47800000,850300000,87630000,802500000,I/S/T/F,991
1227,14,KA06HH0016,Madagamasur Tank,Karnataka Water Resources Department,"14° 21 ' 2""","75° 25 ' 0""",1908,Krishna,Local,Ranebennur,II,Earthfill_Embankment,32.87,950,,1595000,,1529000,I,
1228,15,KA06LH0017,Mavathur Tank,Karnataka Water Resources Department,"13° 26 ' 56""","77° 20 ' 14""",1908,East flowing rivers between Krishna and Pennar,Garudachala,Koratagere,II,Earthfill_Embankment,14,1380,799000,2100000,3566000,2047000,I,204.36
1229,16,KA06MH0018,Mavinahole Tank,Karnataka Water Resources Department,"13° 58 ' 1""","75° 56 ' 12""",1928,Krishna,Local Halla,Channagiri,II,Earthfill_Embankment,20.11,585,461450,1840000,402000,1540000,I,1586
1230,17,KA06LH0019,Sowlanga Tank,Karnataka Water Resources Department,"14° 5 ' 42""","75° 31 ' 35""",1928,Krishna,Hirehalla,Honnali,II,Earthfill_Embankment,12,900,131400,9440000,1762000,8990000,I,478
1231,18,KA06HH0020,K.R.Sagara Dam,Karnataka Water Resources Department,"12° 25 ' 30""","76° 34 ' 15""",1931,Cauvery,Cauvery,Pandava pura,II,Masonry_Gravity,42.62,2621,849000,1400000000,10619000,1275690000,I,9793.891
1232,19,KA06LH0021,Doddaladahalli Tank,Karnataka Water Resources Department,"12° 24 ' 60""","77° 22 ' 36""",1934,Cauvery,Arkavathy,Kanakapura,II,Earthfill_Embankment,14.95,330,14800,4353000,,3190000,I,37
1233,20,KA06HH0022,Tippagondana Hally,Karnataka Water Resources Department,"12° 57 ' 58""","77° 20 ' 3""",1934,Cauvery,Kumadavati,Bangalore,II,Other,49.68,451.104,120164,94719000,6837570,19713000,S,1168.04
1234,21,KA06MH0023,Anjanapura Tank,Karnataka Water Resources Department,"14° 9 ' 13""","75° 23 ' 0""",1936,Krishna,Kumudavathy,Shikaripur,II,Earthfill_Embankment,21.33,1600,0,39770000,1134000,39770000,I,1105
1235,22,KA06MH0024,Maralvadi Dam,Karnataka Water Resources Department,"12° 33 ' 46""","77° 27 ' 24""",1938,Cauvery,Arkavathy,Kanakapura,II,Earthfill_Embankment,16.5,480,162900,74040000,690000,67350000,I,453.06
1236,23,KA06LH0025,Tumbodi Amanikere Tank,Karnataka Water Resources Department,"13° 33 ' 45""","77° 14 ' 7""",1939,Pennar,Dodda Halla,Koratagere,II,Earthfill_Embankment,12.6,480,172000,4160000,867000,3960000,I,229.84
1237,24,KA06LH0026,Ballasamudra Tank,Karnataka Water Resources Department,"13° 41 ' 15""","76° 16 ' 42""",1940,Krishna,Toddahalla,Hosadurga,II,Earthfill_Embankment,12,785,125000,50900000,2000000,47500000,I,421.74
1238,25,KA06MH0027,Marconahally,Karnataka Water Resources Department,"12° 56 ' 0""","76° 52 ' 49""",1940,Cauvery,Shimsha Valley,Kunigal,II,Other,22.25,1812,1180000,68000000,13380000,64000000,I,1700
1239,26,KA06MH0028,Markandeya Tank,Karnataka Water Resources Department,"12° 54 ' 30""","78° 5 ' 3""",1940,East flowing rivers between Pennar and Cauvery Basin,Markandeya,Malur,II,Masonry_Gravity,18.6,206.5,,5940000,1490000,5010000,I,231
1240,27,KA06MH0029,Nelligudda Tank,Karnataka Water Resources Department,"12° 48 ' 39""","77° 22 ' 42""",1940,Cauvery,Bidadi Halla,Ramanagara,II,Composite_Concrete_and_Masonry,17.07,740,362600,6570000,,6130000,I,117.4
1241,28,KA06MH0030,Byramangala Tank,Karnataka Water Resources Department,"12° 45 ' 36""","77° 25 ' 3""",1943,Cauvery,Vrishabhavathy,Ramanagara,II,Composite_Masonry_and_Earth_fill ,22.85,2286,1711.84,24100000,4122000,22010000,I,229.36
1242,29,KA06MH0031,Kanva Dam,Karnataka Water Resources Department,"12° 43 ' 25""","77° 11 ' 36""",1946,Cauvery,Kanva,Channapatna,II,Earthfill_Embankment,22.57,1422,212290,23880000,4370000,22710000,I,395
1243,30,KA06LH0032,Boodikere Tank,Karnataka Water Resources Department,"14° 2 ' 17""","75° 35 ' 50""",1950,Krishna,Local Halla,Shimoga,II,Earthfill_Embankment,12,540,141900,1490000,329000,650000,I,85.81
1244,31,KA06MH0033,Bullapura Tank,Karnataka Water Resources Department,"14° 22 ' 58""","75° 35 ' 41""",1952,Krishna,Kumadavati River,Hirekerur,II,Earthfill_Embankment,18,114.6,18620,706200,80100,642000,I,21.7
1245,32,KA06LH0034,K.Honnamachanahalli,Karnataka Water Resources Department,"12° 53 ' 12""","76° 59 ' 4""",1952,Cauvery,Local Halla,Kunigal,II,Earthfill_Embankment,10,630,127260,5210000,1111000,4750000,I,93.98
1246,33,KA06LH0035,Yerakasandra Tank,Karnataka Water Resources Department,"13° 25 ' 9""","77° 14 ' 39""",1952,Pennar,Local Stream,Tumkur,II,Earthfill_Embankment,10.6,600,157000,5600000,971000,5300000,I,149.62
1247,34,KA06HH0036,Tungabhadra Dam,Karnataka Water Resources Department,"15° 15 ' 19""","76° 20 ' 0""",1953,Krishna,Tungabhadra,Hospet,II,Earthfill_Embankment,49.39,2449,1164000,3737823750,378100000,3308540356,I/H/S/D/T/F,18405.93294
1248,35,KA06MH0037,Neerasagara Dam,Karnataka Water Resources Department,"15° 18 ' 42""","74° 59 ' 13""",1955,West Flowing Rivers from Tapi to Tadri,Bedtinala,Kalghatgi,II,Earthfill_Embankment,24.6,1158.25,761000,28924000,4387000,26170000,S,1048
1249,36,KA06MH0038,Areshankar,Karnataka Water Resources Department,"16° 24 ' 40""","76° 1 ' 7""",1957,Krishna,Areshankar,Basavana Bagevadi,II,Other,19.2,1189,129320,8586450,2250000,7218700,I,1036.39
1250,37,KA06MH0039,Chickkahole,Karnataka Water Resources Department,"11° 50 ' 2.91""","76° 59 ' 18.94""",1958,Cauvery,Chikkahole,Chamarajnagar,II,Earthfill_Embankment,27.53,756,53080,10648000,1620000,10534000,I,765
1251,38,KA06MH0040,Ramanahalli tank,Karnataka Water Resources Department,"16° 59 ' 51""","76° 8 ' 14""",1958,Krishna,navalli nalla,Sindagi,II,Earthfill_Embankment,16.5,1619,830370,14469000,4620000,7787000,I,2377
1252,39,KA06HH0041,Nugu Dam,Karnataka Water Resources Department,"11° 58 ' 35""","76° 26 ' 41""",1959,Cauvery,Nugu,H.D.Kote,II,Other,43.58,637.65,342960,154042000,2676000,138554330,I/H,566
1253,40,KA06LH0042,Parashuramapura New Tank,Karnataka Water Resources Department,"14° 15 ' 24""","76° 53 ' 41""",1959,Krishna,Malenurahalla,Challakere,II,Earthfill_Embankment,12.19,1650,106000,5200000,2690000,4270000,I,604.64
1254,41,KA06MH0043,Kalasakoppa Tank,Karnataka Water Resources Department,"16° 8 ' 29""","75° 30 ' 24""",1960,Krishna,Kalasakoppa,Bagalkot,II,Other,15.8,585,96870,6820300,2700000,6481200,I,237.86
1255,42,KA06LH0044,Babaleshwara Tank,Karnataka Water Resources Department,"16° 59 ' 25""","76° 14 ' 54""",1961,Krishna,sindi halla,Sindagi,II,Earthfill_Embankment,12.11,975,91140,1905000,7288000,1362800,I,681.86
1256,43,KA06MH0045,Jawahar Dam,Karnataka Water Resources Department,"16° 23 ' 56""","74° 21 ' 46""",1961,Krishna,Shiruguppi,chikodi,III,Other,21.64,676.16,221320,1840000,400000,1270000,S,291.62
1257,44,KA06LH0046,Makhanpur Tank,Karnataka Water Resources Department,"16° 59 ' 16""","75° 44 ' 2""",1961,Krishna,Makhanpur,Bijapur.,II,Other,13.75,951,71290,2694400,970600,2530000,I,353.96
1258,45,KA06LH0047,Nagathan Tank,Karnataka Water Resources Department,"16° 54 ' 22""","75° 48 ' 54""",1961,Krishna,Nagathan nala,Bijapur.,II,Other,10.63,1125,68500,2775020,1295000,2412570,I,249.18
1259,46,KA06LH0048,Gundwan tank at Site- 2,Karnataka Water Resources Department,"17° 13 ' 39""","75° 48 ' 56""",1962,Krishna,Gundwan - II,indi,II,Other,11.21,690,52070,1840500,704200,1721000,I,465.58
1260,47,KA06MH0049,Rakkaskop Dam,Karnataka Water Resources Department,"15° 48 ' 45""","74° 22 ' 15""",1962,Krishna,Markandeya,Belgaum,III,Other,26.34,358.37,431380,16620000,3500000,16116000,S,311.53
1261,48,KA06MH0050,Gayathri Reservoir,Karnataka Water Resources Department,"13° 47 ' 49""","76° 43 ' 7""",1963,Krishna,Suvarnamuki,Hiriyur,II,Earthfill_Embankment,17.07,1021.53,9500000,27630000,18310000,18080000,I,442
1262,49,KA06MH0051,Ambligola Tank,Karnataka Water Resources Department,"14° 11 ' 10""","75° 15 ' 38""",1964,Krishna,Vrushbhavathi,sagar,II,Earthfill_Embankment,20.77,881,12300000,12390000,4450000,11700000,I,262.68
1263,50,KA06LH0052,Basavapattana,Karnataka Water Resources Department,"16° 10 ' 23""","75° 19 ' 45""",1964,Krishna,Basavapattana,mudhol,II,Other,14.16,90,18290,1373400,458000,1263400,I,241.96
1264,51,KA06MH0053,Dharma Reservoir,Karnataka Water Resources Department,"14° 43 ' 24""","75° 0 ' 12""",1964,Krishna,Dharma Nala,Mundagod,II,Earthfill_Embankment,23.25,1448.2,1789930,23040000,4971000,22240000,I,707.81
1265,52,KA06LH0054,Krishyal Tank,Karnataka Water Resources Department,"16° 24 ' 58""","75° 55 ' 51""",1964,Krishna,Krishyal,Basavana Bagevadi,II,Other,10.91,730,71290,1618000,704800,1458650,I,85.83
1266,53,KA06HH0055,Linganamakki Dam,Karnataka Water Resources Department,"14° 10 ' 32""","74° 50 ' 47""",1964,West Flowing Rivers from Tadri to Kanyakumari,Sharavathi.,sagar,III,Composite_Masonry_and_Earth_fill ,61.26,2749.29,4080000,4435350000,317280000,4293940000,H,6834
1267,54,KA06LH0056,Sulkod Tank,Karnataka Water Resources Department,"16° 26 ' 33""","75° 48 ' 5""",1964,Krishna,Sulkod Nala,Basavana Bagevadi,II,Other,10.9,762.2,69810,1341300,577100,1220000,I,576.83
1268,55,KA06HH0057,Talakalale Dam,Karnataka Water Resources Department,"14° 11 ' 40""","74° 46 ' 54""",1964,West Flowing Rivers from Tadri to Kanyakumari,Sharavathy,sagar,III,Other,62.48,353.6,320000,129480000,7680000,13610000,H,232
1269,56,KA06HH0058,Bhadra Dam,Karnataka Water Resources Department,"13° 42 ' 3""","75° 38 ' 10""",1965,Krishna,Bhadra,Tarikere,II,Composite_Masonry_and_Rock_fill,76.81,1708,2525000000,2025870000,112508800,1785000000,I/H/S,3020
1270,57,KA06MH0059,Hebbahalla Dam,Karnataka Water Resources Department,"12° 6 ' 24""","76° 19 ' 48""",1965,Cauvery,hebballa,H.D.Kote,II,Earthfill_Embankment,19.2,996.65,982730,11978000,3160000,8190000,I,311.5
1271,58,KA06LH0060,Kadatana Begewadi Tank,Karnataka Water Resources Department,"15° 36 ' 22""","74° 38 ' 31""",1965,Krishna,banki halla,Khanapur,II,Earthfill_Embankment,13.55,594.5,42400,1041900,344000,910000,I,69.37
1272,59,KA06LH0061,Tadavalga Tank,Karnataka Water Resources Department,"17° 4 ' 5""","75° 54 ' 55""",1965,Krishna,Tadavalga Nala,indi,II,Other,11.02,1070,83240,1840400,708000,1323700,I,311.48
1273,60,KA06MH0062,Yallur Tank,Karnataka Water Resources Department,"15° 46 ' 25""","74° 31 ' 56""",1965,Krishna,Local Nala of Mkd Sb Bi,Belgaum,II,Earthfill_Embankment,15.5,393,139880,4371500,82900,4300000,I,420
1274,61,KA06MH0063,Bellathasanahalla Tank,Karnataka Water Resources Department,"11° 56 ' 30""","77° 6 ' 13""",1966,Cauvery,Bellathasanahalla,Yelandur,II,Earthfill_Embankment,18.89,1155.36,11720,4440000,670000,4440000,I,83.45
1275,62,KA06LH0064,Hirekop Tank,Karnataka Water Resources Department,"15° 51 ' 52""","74° 54 ' 12""",1966,Krishna,Local Nala,parasgad,II,Earthfill_Embankment,12.39,785.4,65370,1465180,429300,1197000,I,305.78
1276,63,KA06LH0065,Hokarani Tank,Karnataka Water Resources Department,"16° 21 ' 13""","76° 12 ' 20""",1966,Krishna,Hokarani,muddibhal,II,Other,11.72,755,76320,1184900,482700,1108000,I,126.01
1277,64,KA06LH0066,Kamarahalli Tank,Karnataka Water Resources Department,"11° 56 ' 13""","76° 41 ' 8""",1967,Cauvery,K.Hallihalla,Gundlupet,II,Earthfill_Embankment,12,1020,2670,2960000,2670000,2540000,I,260.36
1278,65,KA06LH0067,Siddasamudra,Karnataka Water Resources Department,"15° 41 ' 12""","74° 54 ' 20""",1967,Krishna,Local Nala Malaprabha Sub Basin,sampgaon,II,Earthfill_Embankment,13.72,712,212470,2158550,1045000,1880000,I,398
1279,66,KA06LH0068,Hanajagi Tank,Karnataka Water Resources Department,"17° 7 ' 57""","75° 53 ' 14""",1968,Krishna,Hanajagi,indi,II,Other,12.81,785,71060,1500000,700000,1415800,I,170
1280,67,KA06HH0069,Jambadahalla Dam,Karnataka Water Resources Department,"13° 40 ' 52""","75° 45 ' 21""",1968,Krishna,Jambadahalla,Tarikere,II,Earthfill_Embankment,31.7,838.1,800000,9684352.4084871,1640000,6909304.0575171,I,467.2
1281,68,KA06LH0070,Kalikatte Tank,Karnataka Water Resources Department,"11° 44 ' 53""","76° 41 ' 25""",1968,Cauvery,Kalikattehalla,Gundlupet,II,Earthfill_Embankment,14.84,1122,2859000,3170000,2860000,2720000,I,418.84
1282,69,KA06MH0071,Sangenahalli Tank,Karnataka Water Resources Department,"14° 25 ' 19""","76° 23 ' 1""",1968,Krishna,Jinigehalla,Jagalur,II,Earthfill_Embankment,15.55,1341,331210,11030000,3360000,10300000,I,269
1283,70,KA06MH0072,Aigali Tank,Karnataka Water Resources Department,"16° 46 ' 50""","75° 17 ' 43""",1969,Krishna,Hirehalla,Athani,III,Earthfill_Embankment,15.66,526.5,120990,1443370,436000,1192000,I,587
1284,71,KA06LH0073,Kuppakaddi Tank,Karnataka Water Resources Department,"16° 32 ' 36""","75° 40 ' 30""",1969,Krishna,Kuppakadi,Basavana Bagevadi,II,Other,11.27,865,57850,1842050,737100,1656500,I,119.3
1285,72,KA06LH0074,Mangala Tank,Karnataka Water Resources Department,"12° 56 ' 38""","76° 53 ' 46""",1969,Cauvery,Nagini River,Kunigal,II,Earthfill_Embankment,13.1,610,108000,,15007914.551164,4089000.0000001,I,736.3
1286,73,KA06LH0075,Yarazarvi Tank,Karnataka Water Resources Department,"15° 57 ' 20""","74° 57 ' 19""",1969,Krishna,Local Nala,parasgad,II,Earthfill_Embankment,12.16,699,61240,1338900,415000,1164520,I,231
1287,74,KA06MH0076,Chakena Hally Tank,Karnataka Water Resources Department,"12° 53 ' 23""","76° 14 ' 36""",1970,Cauvery,Hemavathy River,Holenarasipura,II,Earthfill_Embankment,17.3,886.75,360000,4280000,250000,3920000,I,1008
1288,75,KA06MH0077,Gandabommanahalli Tank,Karnataka Water Resources Department,"14° 46 ' 22""","76° 35 ' 18""",1970,Krishna,Krishna T.Bhadra,Kudligi,II,Earthfill_Embankment,23.15,1397.5,427736,7315000,1780000,7315000,I,418.52
1289,76,KA06LH0078,Ghastoli Tank,Karnataka Water Resources Department,"15° 31 ' 34""","74° 41 ' 2""",1970,West Flowing Rivers from Tapi to Tadri,Local Nala,Khanapur,II,Earthfill_Embankment,14.5,486,70300,8663600,259000,750000,I,71
1290,77,KA06LH0079,Kadatnal Tank,Karnataka Water Resources Department,"15° 40 ' 43""","74° 47 ' 26""",1970,Krishna,kothagi nalla,sampgaon,II,Earthfill_Embankment,13.75,470,118680,1289350,539600,1120000,I,234
1291,78,KA06MH0080,Mangalore Tank,Karnataka Water Resources Department,"15° 54 ' 46""","75° 46 ' 12""",1970,Krishna,Mangalore,padami,II,Other,16.38,124,42650,1591100,331000,1288000,I,103.47
1292,79,KA06MH0081,Murakumbi Tank,Karnataka Water Resources Department,"15° 51 ' 31""","74° 52 ' 38""",1970,Krishna,CHELLA HALLA,parasgad,II,Earthfill_Embankment,16.94,726,57400,1456000,453200,1435000,I,226.5
1293,80,KA06LH0082,Muthurayanakere,Karnataka Water Resources Department,"12° 49 ' 8""","77° 0 ' 22""",1970,Cauvery,Local Nala,Kunigal,II,Earthfill_Embankment,12.06,1140,129000,6795000,,5872000,I,144.35
1294,81,KA06LH0083,Chittawadagi Tank,Karnataka Water Resources Department,"15° 58 ' 58""","76° 0 ' 41""",1971,Krishna,Chittawadagi,Kushtagi,II,Other,12,481,45680,5785200,2080000,5204500,I,892
1295,82,KA06MH0084,Medipally Tank,Karnataka Water Resources Department,"18° 10 ' 48""","77° 31 ' 24""",1971,Godavari,Local,aurad,II,Earthfill_Embankment,22.03,487,106120,1591000,346200,1517000,I,44.4
1296,83,KA06MH0085,Ambadaga Tank,Karnataka Water Resources Department,"15° 21 ' 19""","74° 41 ' 45""",1972,West Flowing Rivers from Tapi to Tadri,Tatti halla,haliyal,II,Earthfill_Embankment,18.3,185.9,70000,1190000,254000,1110000,I,23.34
